dgp,setting,linearity_degree,N,method,n_reps,avg_n_treated_obs,surf_rmse_mean,surf_rmse_sd,surf_mae_mean,surf_mae_sd,surf_mape_mean,surf_mape_sd,surf_cover90_mean,surf_cover90_sd,surf_cover95_mean,surf_cover95_sd,surf_len90_mean,surf_len90_sd,surf_len95_mean,surf_len95_sd
canonical,B2_sweep_serial,2,800,did2s,100,1593.56,1.0652925182402564,0.0314246764820476,0.8780017136601042,0.029045726115682558,0.2847641390958511,0.02935861521659406,0.13624499140692778,0.016180525426284936,0.16238785630590158,0.016851608132120034,0.42038149565015737,0.008430141646804796,0.5009153382248305,0.010045131143942187
canonical,B2_sweep_serial,2,800,did_dr,100,1593.56,1.062221569791291,0.030618145528327638,0.8759443320266942,0.029064888277064656,0.28463137049768306,0.02762409756723362,0.10879906146732392,0.014453990294966149,0.12928689722122283,0.015959693902269916,0.3349536019514831,0.011061749117176327,0.39912174666884503,0.013180884167650954
canonical,B2_sweep_serial,2,800,doubleml,100,1593.56,1.0634488011861287,0.030944681796885656,0.8766391265588959,0.02947701159995684,0.2844531034625382,0.027885627458285427,0.12298071259343075,0.015101987548284334,0.14583776494326237,0.016708519878426357,0.3771600949516983,0.013901779743443466,0.449413874022807,0.01656498864524061
canonical,B2_sweep_serial,2,800,plain,100,1593.56,0.19364440300555052,0.03226935193647999,0.1508601497189217,0.026785577392482822,0.04705364430440676,0.010674293258735298,0.8543105686294057,0.0778124993350199,0.9152560294665396,0.060778498318320155,0.554427468987278,0.028722156940653158,0.6610132161519227,0.03251441278486101
canonical,B2_sweep_serial,2,800,synthdid,100,1593.56,1.0626859409185136,0.03100024591782615,0.8761512759047355,0.02910374997219261,0.28452995935137965,0.028391210788409445,0.10903031854877657,0.016048919989868026,0.12996767644263096,0.01657089344664093,0.3336190775306143,0.007578202176175679,0.39753156308901155,0.009029982873875679
canonical,B2_sweep_serial,2,800,twfe,100,1593.56,0.8925931955514745,0.02214386353225629,0.7559086629506021,0.023922033199644515,0.2206371796667009,0.01077015852541282,0.1689897148624,0.019132006239986104,0.19745532022822906,0.02038081305299513,0.40904563457405874,0.008223452115800339,0.48740793628206525,0.009798847576139897
canonical,B2_sweep_serial,2,800,wang,100,1593.56,0.30165458752416097,0.05348248794171988,0.2444666868264425,0.045557635662221804,0.07042399529997552,0.014218477069805944,0.7575968140708759,0.08767700981971768,0.8308551064482914,0.07805625749210567,0.753158602253226,0.03946298427796337,0.897443631292894,0.04702303579367791
canonical,B2_sweep_serial,2,1600,doubleml,100,3198.28,1.061207833653164,0.021124381591425004,0.874384038193602,0.019149112947300224,0.28176097508857495,0.01092379045784279,0.08344784603370799,0.00813058074172613,0.09898345190390109,0.008886787570819593,0.2553711908440072,0.006788475867587436,0.3042934757074998,0.00808896614249051
canonical,B2_sweep_serial,2,1600,twfe,100,3198.28,0.887575214526359,0.013565307272044566,0.7513945780844499,0.01472843075686578,0.21999771600854195,0.005870207941854128,0.12616140399450862,0.010548551958453408,0.14850356024699507,0.011151368897436745,0.2893613541482032,0.004089776679373992,0.34479531999411783,0.004873269490392956
canonical,B2_sweep_serial,2,1600,wang,100,3198.28,0.2227972547939719,0.03060496525489336,0.1789751280583296,0.025960411591336975,0.051164768081330296,0.007577160998757343,0.8024813435321555,0.0669952255331213,0.8675078932167053,0.055076818423363545,0.6165652934199997,0.021861720742290876,0.7346827005634764,0.026049841282535322
canonical,B2_sweep_serial,3,50,corrected,100,100.16,1.5163991545741615,1.6726114396264897,1.2433898055071608,1.4101667028400469,0.3589056552135013,0.41889345827808405,0.5267197315232787,0.18756142765518413,0.6194335302087507,0.172674630196236,3.211093811905761,6.099692212759956,4.227076791908762,8.551660519937007
canonical,B2_sweep_serial,3,50,did2s,100,100.16,1.1304466654976748,0.197991247339273,0.9156764275596683,0.14244119547363293,0.2571643502840432,0.04636031596396773,0.5076004307452633,0.10661192039095528,0.5979756994813128,0.1110062524058747,1.6485612093215554,0.1514464105885689,1.964381411399865,0.18045948922081437
