dgp,setting,linearity_degree,N,method,mean,sd,rmse,estimand_type,estimand_id
canonical,B1_selection_obs,2,200,wang,-1.4096869806429808,3.3125937663576863,3.5847959592837366,GATT,g=4_t=4
canonical,B1_selection_obs,3,200,did_dr,0.2590505559067441,4.7842521575662404,4.764346266847232,GATT,g=4_t=4
canonical,B1_selection_obs,3,200,doubleml,-0.5133432829958053,4.7933854758181225,4.796905273484479,GATT,g=4_t=4
canonical,B1_selection_obs,3,200,wang,-1.4016777110648213,3.3250688796467642,3.5930798251009324,GATT,g=4_t=4
canonical,B1_serial_corr,1,200,did_dr,-0.3598018545890181,1.7970603938792094,1.8238939588754888,GATT,g=4_t=4
canonical,B1_serial_corr,1,200,doubleml,-0.4109123706872017,2.3120501138157117,2.3368716156201366,GATT,g=4_t=4
canonical,B1_serial_corr,1,200,wang,-0.4461497784450502,1.8428471095262025,1.887107373522968,GATT,g=4_t=4
canonical,B1_serial_corr,2,200,did_dr,-0.39736603693839306,1.8740858118741328,1.9065611506787221,GATT,g=4_t=4
canonical,B1_serial_corr,2,200,doubleml,-0.3069295371254541,2.39720382324995,2.404854683606097,GATT,g=4_t=4
canonical,B1_serial_corr,2,200,wang,-0.44602743821682894,1.843291090305536,1.8875076950322718,GATT,g=4_t=4
canonical,B1_serial_corr,3,200,did_dr,-0.3973660369383895,1.8740858118741284,1.906561150678717,GATT,g=4_t=4
canonical,B1_serial_corr,3,200,doubleml,-0.3433711406373046,2.3971677852471363,2.4097412717847857,GATT,g=4_t=4
canonical,B1_serial_corr,3,200,wang,-0.4493947433022404,1.8391058397938034,1.8842618773333286,GATT,g=4_t=4
canonical,B1_strong_confounder,1,200,did_dr,-0.2462872081650814,2.886345986620726,2.8824192290231667,GATT,g=4_t=4
canonical,B1_strong_confounder,1,200,doubleml,-0.2238300388737794,3.9826715919390714,3.969024586148132,GATT,g=4_t=4
canonical,B1_strong_confounder,1,200,wang,-0.25430249347347494,2.8515203994940594,2.8486008251473702,GATT,g=4_t=4
canonical,B1_strong_confounder,2,200,did_dr,-0.2968669184636302,2.951162749560946,2.9513383279336596,GATT,g=4_t=4
canonical,B1_strong_confounder,2,200,doubleml,-0.45155466756472457,3.567860427498576,3.5785797975745504,GATT,g=4_t=4
canonical,B1_strong_confounder,2,200,wang,-0.25423443852785965,2.847474220045121,2.8445849414663167,GATT,g=4_t=4
canonical,B1_strong_confounder,3,200,did_dr,-0.2968669184636347,2.951162749560953,2.9513383279336676,GATT,g=4_t=4
canonical,B1_strong_confounder,3,200,doubleml,-0.32800348316746336,3.6251275381627206,3.6218393747150417,GATT,g=4_t=4
canonical,B1_strong_confounder,3,200,wang,-0.25676824031189527,2.8464788360551183,2.8438261683340413,GATT,g=4_t=4
canonical,B2_sweep,1,200,did_dr,-0.43889176097069127,3.1157842093554944,3.1310790639529227,GATT,g=4_t=4
canonical,B2_sweep,1,200,doubleml,-0.5353673004248695,4.016248264832292,4.031819163837205,GATT,g=4_t=4
canonical,B2_sweep,1,200,wang,-0.514005062343948,3.1174780220932936,3.144150716833971,GATT,g=4_t=4
canonical,B2_sweep,1,400,doubleml,-0.015310618780624096,3.5828633826992458,3.5649369326740765,GATT,g=4_t=4
canonical,B2_sweep,1,400,wang,0.10905767903842971,2.9780261400650625,2.9651048668401185,GATT,g=4_t=4
canonical,B2_sweep,1,800,doubleml,0.15339577388965314,3.2408297115370086,3.228231359496474,GATT,g=4_t=4
canonical,B2_sweep,1,800,wang,0.03514658884867507,3.159026772712162,3.14338844750578,GATT,g=4_t=4
canonical,B2_sweep,1,1600,doubleml,0.5556508596842663,2.8985455246804377,2.9370560728263952,GATT,g=4_t=4
canonical,B2_sweep,1,1600,wang,0.3596826352498637,2.689033646742149,2.699623035143713,GATT,g=4_t=4
canonical,B2_sweep,2,200,did_dr,-0.48461131379811745,3.1668367008824774,3.1880110207803223,GATT,g=4_t=4
canonical,B2_sweep,2,200,doubleml,-0.6320266525784171,3.771140073639886,3.8050939765046543,GATT,g=4_t=4
