dgp,setting,linearity_degree,N,estimand_type,estimand_id,method,n_reps,n_reps_attempted,retention,mean_true,bias,abs_bias,emp_sd,variance,rmse,mae,mape,avg_post_sd,sd_ratio,cover90,cover95,len90,len95,reject05,reject10,mcse_bias,mcse_cover90,mcse_cover95,mcse_reject05,mcse_reject10,role,n_reps_expected
canonical,PT_violation_het40,3,200,PRE,slope,synthdid,200,200.0,1.0,-0.0012801660265436,0.0036299583380816,0.0036299583380816,0.0544774561013379,0.0029677932232732,0.0480275202290094,0.0389208308492055,1.9008653813387528,0.0922335509365416,1.693059065844971,1.0,1.0,0.3034214503843486,0.3615488788555758,0.0,0.005,0.0038521378631048,0.0,0.0,0.0,0.004987484335815,power,200.0
canonical,PT_violation_het40,3,200,PRE,slope,wang,200,200.0,1.0,-0.0012801660265436,0.0082164688078231,0.0082164688078231,0.0919132896203201,0.0084480528088288,0.076059793636892,0.0625874341144465,3.124409541422434,0.084315286504958,0.9173350976039673,0.94,0.975,0.2773726725376527,0.3305098523988073,0.065,0.145,0.0064992510371691,0.0167928556237466,0.0110397010829098,0.0174320107847603,0.0248972890090467,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_any,did2s,200,200.0,1.0,0.8,,,,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_any,did_dr,196,196.0,0.98,0.7999999999999999,,,,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_any,synthdid,200,200.0,1.0,0.8,,,,,,,,,,,,,,0.95,0.99,,,,0.0154110350074224,0.0070356236397351,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_any,wang,200,200.0,1.0,0.8,,,,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_any_bonf,did2s,200,200.0,1.0,0.8,,,,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_any_bonf,did_dr,196,196.0,0.98,0.7999999999999999,,,,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_any_bonf,synthdid,200,200.0,1.0,0.8,,,,,,,,,,,,,,0.855,0.935,,,,0.0248972890090467,0.0174320107847603,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_any_bonf,wang,200,200.0,1.0,0.8,,,,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-2,did2s,200,200.0,1.0,-0.8,0.4092586792136806,0.4092586792136806,0.222931897813,0.0496986310625058,0.4657711932042596,0.4168110074467368,0.521013759308421,0.2062327626951712,0.9250931101307164,0.375,0.45,0.6784455693004062,0.8084175810061567,0.46,0.545,0.0157636656686358,0.0342326598440728,0.0351781181986757,0.0352420203734121,0.0352118587978538,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-2,did_dr,196,196.0,0.98,-0.7999999999999999,-0.0113778528556633,0.0113778528556633,0.4632863547889853,0.2146342465336655,0.4622430414650657,0.3850756482865519,0.4813445603581899,0.4266310588198924,0.9208798282310982,0.8724489795918368,0.9336734693877552,1.4034916072482708,1.6723630331377433,0.4642857142857143,0.5408163265306123,0.0330918824849275,0.0238278003473433,0.0177751434376927,0.0356230613361452,0.0355950887669818,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-2,synthdid,200,200.0,1.0,-0.8,0.3014284969454517,0.3014284969454517,0.319256140126249,0.1019244830083111,0.438490592104396,0.3611576005106868,0.4514470006383586,0.4216417578291132,1.3207005436524293,0.875,0.955,1.3870782638644965,1.65280533248356,0.15,0.285,0.0225748181618713,0.0233853586673371,0.014658615214269,0.0252487623459051,0.0319198214280719,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-2,wang,200,200.0,1.0,-0.8,0.0088283833269417,0.0088283833269417,0.437836568211798,0.1917008604634844,0.4368298255766591,0.3630804393155237,0.4538505491444046,0.4242961630372542,0.9690742935661012,0.9,0.94,1.3958104819129595,1.663210409782298,0.44,0.545,0.0309597206434008,0.0212132034355964,0.0167928556237466,0.0350998575495684,0.0352118587978538,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-3,did2s,200,200.0,1.0,-1.6,0.7980977907903528,0.7980977907903528,0.2566629270822477,0.0658758581384272,0.8381566455694166,0.7980977907903528,0.4988111192439703,0.2232713617628268,0.8699010967457698,0.065,0.11,0.7344975849620663,0.8752076625722347,0.93,0.97,0.0181488096219045,0.0174320107847603,0.0221246468898375,0.0180416185526687,0.0120623380818148,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-3,did_dr,196,196.0,0.98,-1.6,-0.0417915009814163,0.0417915009814163,0.4964530755079592,0.2464656561813114,0.4969453771773427,0.4093901851109965,0.2558688656943728,0.4306869274407335,0.867527967270753,0.8724489795918368,0.9336734693877552,1.4168342306972002,1.6882617461089,0.9387755102040816,0.979591836734694,0.0354609339648542,0.0238278003473433,0.0177751434376927,0.0171244025138057,0.0100994216184774,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-3,synthdid,200,200.0,1.0,-1.6,0.5717916507553791,0.5717916507553791,0.3405782836564173,0.115993567298351,0.6651009632645413,0.5783846883849936,0.3614904302406209,0.4426148806271506,1.2995980714779511,0.665,0.77,1.4560737137181825,1.7350184637870254,0.655,0.78,0.0240825213898328,0.0333747659167821,0.029757352032733,0.0336136133136561,0.0292916370317536,power,200.0
