family,design,degree,N,rep,task_estimator,shard,n_shards,wave_id,n_waves,oracle_available,config_hash,base_seed,seed
correction_audit,null,1,200,80,oracle_reference_fold_convolution,0,48,0,1,False,1d4ec075e86f013d,20260829,1420254698
correction_audit,null,1,200,80,raw_structured,0,48,0,1,True,1d4ec075e86f013d,20260829,1420254698
correction_audit,null,1,200,80,reference_fold_convolution_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,1420254698
correction_audit,null,1,200,80,reference_fold_convolution_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,1420254698
correction_audit,null,1,200,80,reference_fold_convolution_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,1420254698
correction_audit,null,1,800,28,current_hybrid_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,28,current_hybrid_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,28,current_hybrid_logit_clip01,0,48,0,1,True,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,28,current_hybrid_logit_clip05,0,48,0,1,True,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,28,current_hybrid_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,28,oracle_current_hybrid,0,48,0,1,False,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,28,oracle_reference_fold_convolution,0,48,0,1,False,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,28,raw_structured,0,48,0,1,True,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,28,reference_fold_convolution_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,28,reference_fold_convolution_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,28,reference_fold_convolution_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,2347810625
correction_audit,null,1,800,76,current_hybrid_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,3358313460
correction_audit,null,1,800,76,current_hybrid_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,3358313460
correction_audit,null,1,800,76,current_hybrid_logit_clip01,0,48,0,1,True,1d4ec075e86f013d,20260829,3358313460
correction_audit,null,1,800,76,current_hybrid_logit_clip05,0,48,0,1,True,1d4ec075e86f013d,20260829,3358313460
correction_audit,null,1,800,76,current_hybrid_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,3358313460
